,name,categories,type,unit,database,"REO solvent extraction, Hi-
tech_1 | NdO from solvent
extraction, primary, Hi-tech |
| REM_replicated_2_2","REO solvent extraction,
baseline_1 | NdO from solvent
extraction, baseline |  |
REM_replicated_2_2","REO solvent extraction, Low-
tech_1 | NdO from solvent
extraction, Low-tech |  |
REM_replicated_2_2","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM_replicated_2_2","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  |
REM_replicated_2_2","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  |
REM_replicated_2_2","REO solvent extraction, Hi-
tech_1 | NdO from solvent
extraction, primary, Hi-tech |
| REM2_2","REO solvent extraction,
baseline_1 | NdO from solvent
extraction, baseline |  |
REM2_2","REO solvent extraction, Low-
tech_1 | NdO from solvent
extraction, Low-tech |  |
REM2_2","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM2_2","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  | REM2_2","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  | REM2_2","REO solvent extraction, Hi-
tech_1 | NdO from solvent
extraction, primary, Hi-tech |
| REM_unlinked_2_2","REO solvent extraction,
baseline_1 | NdO from solvent
extraction, baseline |  |
REM_unlinked_2_2","REO solvent extraction, Low-
tech_1 | NdO from solvent
extraction, Low-tech |  |
REM_unlinked_2_2","Pulse magnetising and testing
of magnet, recycled, hand
picking | Magnetised NdFeB
magnet, recycled, hand picking
|  | REM_unlinked_2_2","Pulse magnetising and testing
of magnet, recycling, shredded
| Magnetised NdFeB magnet,
recycled, shredded |  |
REM_unlinked_2_2","pulse magnetising and testing
of magnet, primary, baseline |
Magnetised NdFeB magnet,
primary, baseline |  |
REM_unlinked_2_2"
123,Clethodim,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Clodinafop-propargyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Clomazone,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Clopyralid,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Cloquintocet-mexyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Cloransulam-methyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,"Coal, brown, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,0.8003697140197217,0.8354465836293539,0.883336118498824,0.03395610534133481,0.3928579457344922,0.914129019006518,0.8003697140197217,0.8354465836293539,0.883336118498824,0.11762633587962851,0.3928579457344922,0.914129019006518,0.8003697140197217,0.8354465836293539,0.883336118498824,0.11762633587962851,0.3928579457344921,0.914129019006518
130,"Coal, hard, unspecified, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,1.0523943370520579,1.097561141388707,1.1588704865166601,1.0176060445301183,2.5014136537272362,6.111924248567216,1.0523943370520579,1.097561141388707,1.1588704865166601,1.089804975120419,2.5014136537272362,6.111924248567216,1.0523943370520579,1.0975611413887068,1.1588704865166601,1.089804975120419,2.5014136537272362,6.111924248567216
131,Cobalt,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,8.658796303123361e-07,9.097851005546247e-07,9.703546027151088e-07,6.69277756854813e-08,3.2115250567137337e-07,1.4486216225611382e-06,8.658796303123361e-07,9.097851005546247e-07,9.703546027151088e-07,1.4874705638491103e-07,3.2115250567137337e-07,1.4486216225611384e-06,8.65879630312336e-07,9.097851005546246e-07,9.703546027151085e-07,1.4874705638491103e-07,3.211525056713733e-07,1.4486216225611378e-06
132,"COD, Chemical Oxygen Demand","('water', 'ground-')",emission,kilogram,biosphere3,1.289878111468297e-07,1.3447470835218258e-07,1.4196426025138924e-07,1.4642095384039843e-07,3.594772269975249e-07,5.318498237483643e-07,1.289878111468297e-07,1.3447470835218258e-07,1.4196426025138924e-07,1.5608203485317303e-07,3.594772269975249e-07,5.318498237483644e-07,1.289878111468297e-07,1.3447470835218258e-07,1.4196426025138924e-07,1.5608203485317303e-07,3.594772269975249e-07,5.318498237483643e-07
133,"Colemanite, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,2.1523642933733752e-05,2.241786517713617e-05,2.361819344439016e-05,1.4856464899825277e-06,0.13422452061574436,0.1631348977953469,2.1523642933733752e-05,2.241786517713617e-05,2.361819344439016e-05,1.7843879250828717e-06,0.13422452061574436,0.1631348977953469,2.1523642933733746e-05,2.241786517713617e-05,2.361819344439016e-05,1.7843879250828717e-06,0.13422452061574439,0.1631348977953469
134,Copper,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.406308340937498e-06,2.5179033340157037e-06,2.670508596516071e-06,7.190170347115588e-08,7.949962023310931e-07,4.108534382967777e-06,2.406308340937498e-06,2.5179033340157037e-06,2.670508596516071e-06,2.6306283708783615e-07,7.949962023310931e-07,4.108534382967777e-06,2.4063083409374977e-06,2.517903334015703e-06,2.6705085965160704e-06,2.6306283708783615e-07,7.949962023310931e-07,4.108534382967776e-06
135,"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,0.0002577533977126662,0.0002708924326107113,0.000288707282268039,2.365693724466582e-05,0.0001661623324799228,0.00034039321542411255,0.0002577533977126662,0.0002708924326107113,0.000288707282268039,6.619167592280322e-05,0.0001661623324799228,0.00034039321542411255,0.0002577533977126662,0.00027089243261071137,0.0002887072822680391,6.619167592280322e-05,0.0001661623324799228,0.00034039321542411245
139,"Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,0.0014165477298243123,0.0014857339801686016,0.0015798988266758076,0.00013115728948512453,0.0009167928413675059,0.001872101043123038,0.0014165477298243123,0.0014857339801686016,0.0015798988266758076,0.00036682677760748323,0.0009167928413675059,0.001872101043123038,0.0014165477298243123,0.0014857339801686018,0.0015798988266758083,0.00036682677760748323,0.0009167928413675059,0.001872101043123037
141,"Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,0.0003757595358654021,0.0003941121778258849,0.00041909074950047785,3.479134629850046e-05,0.00024319240784400175,0.0004966015652173454,0.0003757595358654021,0.0003941121778258849,0.00041909074950047785,9.730604693354541e-05,0.00024319240784400175,0.0004966015652173454,0.0003757595358654021,0.00039411217782588494,0.0004190907495004779,9.730604693354541e-05,0.00024319240784400175,0.0004966015652173452
142,"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,0.0018819672542201322,0.0019737346993514296,0.0020986140859042676,0.00017252621882200717,0.001212100205822057,0.002480556840358094,0.0018819672542201322,0.0019737346993514296,0.0020986140859042676,0.0004826140224483836,0.001212100205822057,0.002480556840358094,0.0018819672542201322,0.00197373469935143,0.0020986140859042685,0.0004826140224483836,0.001212100205822057,0.002480556840358093
143,"Copper, ion","('water', 'ground-')",emission,kilogram,biosphere3,2.1165388291417764e-07,2.2105684363767902e-07,2.3380464681720106e-07,9.117276255880361e-08,7.952476567579451e-07,9.115688953620617e-07,2.1165388291417764e-07,2.2105684363767902e-07,2.3380464681720106e-07,6.8194338072503e-07,7.952476567579451e-07,9.115688953620617e-07,2.1165388291417759e-07,2.2105684363767904e-07,2.3380464681720106e-07,6.8194338072503e-07,7.952476567579452e-07,9.115688953620616e-07
144,"Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,"Cu, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Cumene,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.309615167744307e-06,9.342974166244557e-06,1.8112073336466842e-05,7.101119233625063e-08,1.6856754132254027e-06,9.137901114051337e-06,2.309615167744307e-06,9.342974166244557e-06,1.8112073336466842e-05,3.4776133497841555e-07,1.6856754132254027e-06,9.13790111405134e-06,2.3096151677443064e-06,9.342974166244557e-06,1.8112073336466842e-05,3.4776133497841555e-07,1.6856754132254025e-06,9.137901114051332e-06
147,Cyanazine,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Cyanide,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,4.780545114095264e-07,4.932271278408829e-07,5.126696615659534e-07,4.505011394098905e-09,2.499610627070583e-07,4.7549934327217026e-07,4.780545114095264e-07,4.932271278408829e-07,5.126696615659534e-07,2.827997052318088e-08,2.499610627070583e-07,4.754993432721703e-07,4.780545114095264e-07,4.932271278408829e-07,5.126696615659534e-07,2.827997052318088e-08,2.4996106270705825e-07,4.7549934327216994e-07
149,Cyanoacetic acid,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.176232375851267e-10,1.226217391237317e-10,1.2937057741042322e-10,6.758776343476535e-14,3.3296412364164724e-13,1.1031557714730647e-10,1.176232375851267e-10,1.226217391237317e-10,1.2937057741042322e-10,1.2564331087348842e-13,3.3296412364164436e-13,1.1031557714730642e-10,1.1762323758512666e-10,1.2262173912373176e-10,1.2937057741042324e-10,1.2564331087348842e-13,3.329641236416529e-13,1.1031557714730639e-10
150,Cyclanilide,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,Cyclohexane,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Cycloxydim,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Cyfluthrin,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Cymoxanil,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Cypermethrin,"('soil', 'agricultural')",emission,kilogram,biosphere3,3.49148041137339e-07,3.6399910603100767e-07,3.840516800394588e-07,3.623544072676206e-11,4.269029087424124e-10,3.268962773831037e-07,3.49148041137339e-07,3.6399910603100767e-07,3.840516800394588e-07,8.725970862209981e-11,4.269029087424123e-10,3.268962773831037e-07,3.491480411373401e-07,3.6399910603100815e-07,3.840516800394588e-07,8.725970862209974e-11,4.2690290874241987e-10,3.268962773831028e-07
156,Cyproconazole,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,Cyprodinil,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Deltamethrin,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,"Diatomite, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,2.3792277319646905e-10,2.4808578560644975e-10,2.6194627887771943e-10,6.034878619373242e-11,2.2385732849702881e-10,2.79793474924663e-10,2.3792277319646905e-10,2.4808578560644975e-10,2.6194627887771943e-10,8.51941332226478e-11,2.2385732849702881e-10,2.797934749246633e-10,2.379227731964691e-10,2.4808578560644975e-10,2.6194627887771933e-10,8.51941332226478e-11,2.2385732849702876e-10,2.7979347492466323e-10
160,Diazinon,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Dicamba,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,Dichlorprop-P,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,Diclofop,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,Diclofop-methyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Dicofol,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,Dicrotophos,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,Diethyl ether,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,Diethylamine,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,6.167961974718093e-10,6.438785598777634e-10,6.805522832210468e-10,5.254941532141892e-13,4.525555186610089e-12,5.817335356868005e-10,6.167961974718093e-10,6.438785598777634e-10,6.805522832210468e-10,2.8792676618196173e-12,4.525555186610089e-12,5.817335356868004e-10,6.167961974718112e-10,6.438785598777643e-10,6.805522832210468e-10,2.8792676618196173e-12,4.5255551866101035e-12,5.817335356867988e-10
169,Diethylene glycol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,Difenoconazole,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,Diflubenzuron,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,Diflufenican,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,Diflufenzopyr-sodium,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,Dimethachlor,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,Dimethenamid,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Dimethipin,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Dimethoate,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,Dimethomorph,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,Dimethyl malonate,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.4749924562309743e-10,1.5376735404118404e-10,1.6223038035968096e-10,8.475488219030502e-14,4.1753616264975217e-13,1.383354576918693e-10,1.4749924562309743e-10,1.5376735404118404e-10,1.6223038035968096e-10,1.5755638031724111e-13,4.1753616264974863e-13,1.383354576918692e-10,1.474992456230974e-10,1.537673540411841e-10,1.6223038035968096e-10,1.5755638031724111e-13,4.175361626497593e-13,1.3833545769186919e-10
180,Dimethylamine,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.0478265109572315e-22,3.9863001970455596e-23,1.0464497034802033e-22,-6.462021046632782e-25,3.233199602937328e-23,1.0508690606177724e-22,1.0478265109572315e-22,3.9863001970455596e-23,1.0464497034802033e-22,1.9944118509313065e-24,3.2331996077089676e-23,8.324214804105892e-23,8.29378930700544e-23,6.170775656247408e-23,8.280021113340102e-23,1.9944118509313065e-24,2.6870805752091137e-23,6.139739191244252e-23
181,Dinitrogen monoxide,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.00013349450832272054,0.00015225098538216723,0.00017920783907002534,3.200096222941005e-05,0.00012316654083728982,0.0002550975840822891,0.00013349450832272054,0.00015225098538216723,0.00017920783907002534,7.702215049210705e-05,0.00012316654083728982,0.0002550975840822891,0.0001334945083227205,0.0001522509853821672,0.00017920783907002534,7.702215049210705e-05,0.00012316654083728982,0.0002550975840822892
182,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('air', 'urban air close to ground')",emission,kilogram,biosphere3,5.282201327629726e-13,5.54579753458981e-13,5.900748058104759e-13,5.977196148644167e-14,3.551204858383407e-13,1.2480020623403262e-12,5.282201327629726e-13,5.54579753458981e-13,5.900748058104759e-13,1.2030348393140536e-13,3.551204858383407e-13,1.248002062340326e-12,5.28220132762973e-13,5.545797534589809e-13,5.900748058104758e-13,1.2030348393140536e-13,3.551204858383399e-13,1.2480020623403248e-12
183,Dipropylamine,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,3.872409716372078e-10,4.0425184657864445e-10,4.272881511818163e-10,3.308547976850401e-13,2.8639484403272836e-12,3.652548296452339e-10,3.872409716372078e-10,4.0425184657864445e-10,4.272881511818163e-10,1.826525019563304e-12,2.8639484403272836e-12,3.652548296452339e-10,3.8724097163720894e-10,4.0425184657864496e-10,4.272881511818163e-10,1.8265250195633036e-12,2.863948440327292e-12,3.6525482964523285e-10
184,Diquat,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,Dissolved solids,"('water', 'ground-')",emission,kilogram,biosphere3,0.00014095868961381224,0.00014692889145919596,0.0001550771027996819,0.00015742178895106443,0.0003865311391947677,0.0006062013181752473,0.00014095868961381224,0.00014692889145919596,0.0001550771027996819,0.0001678573053742514,0.0003865311391947677,0.0006062013181752474,0.00014095868961381224,0.00014692889145919593,0.0001550771027996819,0.0001678573053742514,0.0003865311391947677,0.0006062013181752474
186,Disulfoton,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,Dithianon,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,Diuron,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,"Dolomite, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,0.0007661722218044888,0.0008042492210850713,0.0008564748373085474,2.2009487127921532e-05,0.00017044653467490433,0.0008358359525734273,0.0007661722218044888,0.0008042492210850713,0.0008564748373085474,5.7557434898415116e-05,0.00017044653467490433,0.0008358359525734273,0.00076617222180449,0.0008042492210850716,0.0008564748373085474,5.7557434898415116e-05,0.00017044653467490433,0.0008358359525734278
190,DSMA,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,Endosulfan,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Endothall,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,Epoxiconazole,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,EPTC,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,Esfenvalerate,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,Ethalfluralin,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Ethane,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,5.962398751632993e-05,6.517504290574928e-05,7.31373729234954e-05,2.5484063505557108e-05,7.20807495537459e-05,7.121911139152698e-05,5.962398751632993e-05,6.517504290574928e-05,7.31373729234954e-05,2.8064992387889134e-05,7.20807495537459e-05,7.121911139152698e-05,5.9623987516329934e-05,6.517504290574928e-05,7.313737292349539e-05,2.8064992387889134e-05,7.208074955374587e-05,7.121911139152695e-05
198,"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a","('air', 'urban air close to ground')",emission,kilogram,biosphere3,4.3366214343387643e-10,4.51465489919042e-10,4.752721470218403e-10,1.5789494177760765e-12,1.4818896991890812e-10,4.2475417430255237e-10,4.3366214343387643e-10,4.51465489919042e-10,4.752721470218403e-10,6.455587660873031e-12,1.4818896991890812e-10,4.2475417430255237e-10,4.3366214343387643e-10,4.51465489919042e-10,4.752721470218403e-10,6.455587660873031e-12,1.4818896991890804e-10,4.2475417430255206e-10
199,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113","('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.852823762829896e-10,1.9287805348470438e-10,2.0303013801572857e-10,5.072921736879621e-13,6.28113174085781e-11,1.80746684419612e-10,1.852823762829896e-10,1.9287805348470438e-10,2.0303013801572857e-10,2.232241235555551e-12,6.281131740857813e-11,1.8074668441961194e-10,1.852823762829896e-10,1.9287805348470438e-10,2.0303013801572857e-10,2.232241235555551e-12,6.28113174085781e-11,1.8074668441961181e-10
200,"Ethane, 1,1-difluoro-, HFC-152a","('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.7643826557159472e-09,1.840812594262239e-09,1.9451582577797654e-09,7.742679780881851e-11,8.684744575936698e-10,2.0239010495798108e-09,1.7643826557159472e-09,1.840812594262239e-09,1.9451582577797654e-09,2.647853136411386e-10,8.684744575936698e-10,2.0239010495798108e-09,1.7643826557159472e-09,1.840812594262239e-09,1.9451582577797654e-09,2.647853136411386e-10,8.684744575936696e-10,2.02390104957981e-09
201,"Ethane, 1,2-dichloro-","('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.3111159771274054e-07,6.449850309240141e-07,1.1613971057419822e-06,1.3052835359819295e-08,1.579546314320652e-07,6.556975116412119e-07,2.3111159771274054e-07,6.449850309240141e-07,1.1613971057419822e-06,4.538366605715513e-08,1.579546314320652e-07,6.556975116412119e-07,2.311115977127405e-07,6.449850309240141e-07,1.1613971057419822e-06,4.538366605715513e-08,1.579546314320652e-07,6.556975116412115e-07
